種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
533,ハチジョウツグミ,Turdus naumanni,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
534,エゾビタキ,Muscicapa griseisticta,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
535,サメビタキ,Muscicapa sibirica,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
535-1,サメビタキ,Muscicapa sibirica sibirica,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
536,ミヤマヒタキ,Muscicapa ferruginea,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
537,チャムネサメビタキ,Muscicapa muttui,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
538,コサメビタキ,Muscicapa dauurica,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
538-1,コサメビタキ,Muscicapa dauurica dauurica,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
539,ムナフヒタキ,Muscicapa striata,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
539-1,ムナフヒタキ,Muscicapa striata mongola,MUSCICAPA,サメビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
540,オオルリ,Cyanoptila cyanomelana,CYANOPTILA,オオルリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
540-1,チョウセンオオルリ,Cyanoptila cyanomelana intermedia,CYANOPTILA,オオルリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
540-2,オオルリ,Cyanoptila cyanomelana cyanomelana,CYANOPTILA,オオルリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
541,ロクショウヒタキ,Eumyias thalassinus,EUMYIAS,アイイロヒタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
542,ヨーロッパコマドリ,Erithacus rubecula,ERITHACUS,ヨーロッパコマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
543,オガワコマドリ,Luscinia svecica,LUSCINIA,オガワコマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
543-1,オガワコマドリ,Luscinia svecica svecica,LUSCINIA,オガワコマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
544,ノゴマ,Calliope calliope,CALLIOPE,ノゴマ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
545,コルリ,Larvivora cyane,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
545-1,コルリ,Larvivora cyane nechaevi,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
546,コマドリ,Larvivora akahige,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
546-1,コマドリ,Larvivora akahige akahige,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
546-2,タネコマドリ,Larvivora akahige tanensis,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
547,アカヒゲ,Larvivora komadori,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
548,ホントウアカヒゲ,Larvivora namiyei,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
549,シマゴマ,Larvivora sibilans,LARVIVORA,コマドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
550,マミジロキビタキ,Ficedula zanthopygia,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
551,キビタキ,Ficedula narcissina,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
552,リュウキュウキビタキ,Ficedula owstoni,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
553,ムギマキ,Ficedula mugimaki,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
554,ニシオジロビタキ,Ficedula parva,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
555,オジロビタキ,Ficedula albicilla,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
556,マダラヒタキ,Ficedula hypoleuca,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
556-1,マダラヒタキ,Ficedula hypoleuca sibirica,FICEDULA,キビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
557,ルリビタキ,Tarsiger cyanurus,TARSIGER,ルリビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
558,セアカジョウビタキ,Phoenicurus erythronotus,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
559,カワビタキ,Phoenicurus fuliginosus,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
560,クロジョウビタキ,Phoenicurus ochruros,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
560-1,クロジョウビタキ,Phoenicurus ochruros rufiventris,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
561,シロビタイジョウビタキ,Phoenicurus phoenicurus,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
561-1,シロビタイジョウビタキ,Phoenicurus phoenicurus phoenicurus,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
562,ジョウビタキ,Phoenicurus auroreus,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
562-1,ジョウビタキ,Phoenicurus auroreus auroreus,PHOENICURUS,ジョウビタキ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,亜種
563,ヒメイソヒヨ,Monticola gularis,MONTICOLA,イソヒヨドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
564,コシジロイソヒヨドリ,Monticola saxatilis,MONTICOLA,イソヒヨドリ属,MUSCICAPIDAE,ヒタキ科,PASSERIFORMES,スズメ目,種
