種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
272,ハシグロアビ,Gavia immer,GAVIA,アビ属,GAVIIDAE,アビ科,GAVIIFORMES,アビ目,種
273,ハシジロアビ,Gavia adamsii,GAVIA,アビ属,GAVIIDAE,アビ科,GAVIIFORMES,アビ目,種
274,アシナガウミツバメ,Oceanites oceanicus,OCEANITES,アシナガウミツバメ属,OCEANITIDAE,アシナガウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,種
274-1,アシナガウミツバメ,Oceanites oceanicus exasperatus,OCEANITES,アシナガウミツバメ属,OCEANITIDAE,アシナガウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,亜種
275,コアホウドリ,Phoebastria immutabilis,PHOEBASTRIA,アホウドリ属,DIOMEDEIDAE,アホウドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
276,クロアシアホウドリ,Phoebastria nigripes,PHOEBASTRIA,アホウドリ属,DIOMEDEIDAE,アホウドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
277,アホウドリ,Phoebastria albatrus,PHOEBASTRIA,アホウドリ属,DIOMEDEIDAE,アホウドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
278,ハイイロウミツバメ,Hydrobates furcatus,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,種
278-1,ハイイロウミツバメ,Hydrobates furcatus furcatus,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,亜種
279,ヒメクロウミツバメ,Hydrobates monorhis,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,種
280,クロウミツバメ,Hydrobates matsudairae,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,種
281,コシジロウミツバメ,Hydrobates leucorhous,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,種
281-1,コシジロウミツバメ,Hydrobates leucorhous leucorhous,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,亜種
282,クロコシジロウミツバメ,Hydrobates castro,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,種
283,オーストンウミツバメ,Hydrobates tristrami,HYDROBATES,オーストンウミツバメ属,HYDROBATIDAE,ウミツバメ科,PROCELLARIIFORMES,ミズナギドリ目,種
284,フルマカモメ,Fulmarus glacialis,FULMARUS,フルマカモメ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
284-1,フルマカモメ,Fulmarus glacialis rodgersii,FULMARUS,フルマカモメ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,亜種
285,ハジロミズナギドリ,Pterodroma solandri,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
286,オオシロハラミズナギドリ,Pterodroma externa,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
287,カワリシロハラミズナギドリ,Pterodroma neglecta,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
288,ハワイシロハラミズナギドリ,Pterodroma sandwichensis,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
289,マダラシロハラミズナギドリ,Pterodroma inexpectata,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
290,クビワオオシロハラミズナギドリ,Pterodroma cervicalis,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
290-1,クビワオオシロハラミズナギドリ,Pterodroma cervicalis cervicalis,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,亜種
291,ハグロシロハラミズナギドリ,Pterodroma nigripennis,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
292,シロハラミズナギドリ,Pterodroma hypoleuca,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
293,ヒメシロハラミズナギドリ,Pterodroma longirostris,PTERODROMA,シロハラミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
294,オオミズナギドリ,Calonectris leucomelas,CALONECTRIS,オオミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
295,オナガミズナギドリ,Ardenna pacifica,ARDENNA,ハシボソミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
295-1,オナガミズナギドリ,Ardenna pacifica cuneata,ARDENNA,ハシボソミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,亜種
296,ミナミオナガミズナギドリ,Ardenna bulleri,ARDENNA,ハシボソミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
297,ハイイロミズナギドリ,Ardenna grisea,ARDENNA,ハシボソミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
298,ハシボソミズナギドリ,Ardenna tenuirostris,ARDENNA,ハシボソミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
299,シロハラアカアシミズナギドリ,Ardenna creatopus,ARDENNA,ハシボソミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
300,アカアシミズナギドリ,Ardenna carneipes,ARDENNA,ハシボソミズナギドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
301,コミズナギドリ,Puffinus nativitatis,PUFFINUS,セグロミズナギドリ属（和名検討中）,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
302,オガサワラヒメミズナギドリ,Puffinus bryani,PUFFINUS,セグロミズナギドリ属（和名検討中）,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
303,ハワイセグロミズナギドリ,Puffinus newelli,PUFFINUS,セグロミズナギドリ属（和名検討中）,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
304,オガサワラミズナギドリ,Puffinus bannermani,PUFFINUS,セグロミズナギドリ属（和名検討中）,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
305,アナドリ,Bulweria bulwerii,BULWERIA,アナドリ属,PROCELLARIIDAE,ミズナギドリ科,PROCELLARIIFORMES,ミズナギドリ目,種
306,ナベコウ,Ciconia nigra,CICONIA,コウノトリ属,CICONIIDAE,コウノトリ科,CICONIIFORMES,コウノトリ目,種
307,コウノトリ,Ciconia boyciana,CICONIA,コウノトリ属,CICONIIDAE,コウノトリ科,CICONIIFORMES,コウノトリ目,種
308,オオグンカンドリ,Fregata minor,FREGATA,グンカンドリ属,FREGATIDAE,グンカンドリ科,SULIFORMES,カツオドリ目,種
308-1,オオグンカンドリ,Fregata minor minor,FREGATA,グンカンドリ属,FREGATIDAE,グンカンドリ科,SULIFORMES,カツオドリ目,亜種
309,コグンカンドリ,Fregata ariel,FREGATA,グンカンドリ属,FREGATIDAE,グンカンドリ科,SULIFORMES,カツオドリ目,種
309-1,コグンカンドリ,Fregata ariel ariel,FREGATA,グンカンドリ属,FREGATIDAE,グンカンドリ科,SULIFORMES,カツオドリ目,亜種
310,アオツラカツオドリ,Sula dactylatra,SULA,カツオドリ属,SULIDAE,カツオドリ科,SULIFORMES,カツオドリ目,種
310-1,アオツラカツオドリ,Sula dactylatra personata,SULA,カツオドリ属,SULIDAE,カツオドリ科,SULIFORMES,カツオドリ目,亜種
311,アカアシカツオドリ,Sula sula,SULA,カツオドリ属,SULIDAE,カツオドリ科,SULIFORMES,カツオドリ目,種
311-1,アカアシカツオドリ,Sula sula rubripes,SULA,カツオドリ属,SULIDAE,カツオドリ科,SULIFORMES,カツオドリ目,亜種
312,カツオドリ,Sula leucogaster,SULA,カツオドリ属,SULIDAE,カツオドリ科,SULIFORMES,カツオドリ目,種
312-1,カツオドリ,Sula leucogaster plotus,SULA,カツオドリ属,SULIDAE,カツオドリ科,SULIFORMES,カツオドリ目,亜種
312-2,シロガシラカツオドリ,Sula leucogaster brewsteri,SULA,カツオドリ属,SULIDAE,カツオドリ科,SULIFORMES,カツオドリ目,亜種
313,チシマウガラス,Urile urile,URILE,ヒメウ属,PHALACROCORACIDAE,ウ科,SULIFORMES,カツオドリ目,種
314,ヒメウ,Urile pelagicus,URILE,ヒメウ属,PHALACROCORACIDAE,ウ科,SULIFORMES,カツオドリ目,種
314-1,ヒメウ,Urile pelagicus pelagicus,URILE,ヒメウ属,PHALACROCORACIDAE,ウ科,SULIFORMES,カツオドリ目,亜種
315,ウミウ,Phalacrocorax capillatus,PHALACROCORAX,ウ属,PHALACROCORACIDAE,ウ科,SULIFORMES,カツオドリ目,種
316,カワウ,Phalacrocorax carbo,PHALACROCORAX,ウ属,PHALACROCORACIDAE,ウ科,SULIFORMES,カツオドリ目,種
316-1,シナカワウ（和名検討中）,Phalacrocorax carbo sinensis,PHALACROCORAX,ウ属,PHALACROCORACIDAE,ウ科,SULIFORMES,カツオドリ目,亜種
316-2,カワウ,Phalacrocorax carbo hanedae,PHALACROCORAX,ウ属,PHALACROCORACIDAE,ウ科,SULIFORMES,カツオドリ目,亜種
317,クロトキ,Threskiornis melanocephalus,THRESKIORNIS,クロトキ属,THRESKIORNITHIDAE,トキ科,PELECANIFORMES,ペリカン目,種
318,トキ,Nipponia nippon,NIPPONIA,トキ属,THRESKIORNITHIDAE,トキ科,PELECANIFORMES,ペリカン目,種
319,ブロンズトキ,Plegadis falcinellus,PLEGADIS,ブロンズトキ属,THRESKIORNITHIDAE,トキ科,PELECANIFORMES,ペリカン目,種
320,ヘラサギ,Platalea leucorodia,PLATALEA,ヘラサギ属,THRESKIORNITHIDAE,トキ科,PELECANIFORMES,ペリカン目,種
320-1,ヘラサギ,Platalea leucorodia leucorodia,PLATALEA,ヘラサギ属,THRESKIORNITHIDAE,トキ科,PELECANIFORMES,ペリカン目,亜種
321,クロツラヘラサギ,Platalea minor,PLATALEA,ヘラサギ属,THRESKIORNITHIDAE,トキ科,PELECANIFORMES,ペリカン目,種
322,サンカノゴイ,Botaurus stellaris,BOTAURUS,サンカノゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
322-1,サンカノゴイ,Botaurus stellaris stellaris,BOTAURUS,サンカノゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
323,ヨシゴイ,Ixobrychus sinensis,IXOBRYCHUS,ヨシゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
323-1,ヨシゴイ,Ixobrychus sinensis sinensis,IXOBRYCHUS,ヨシゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
323-2,マリアナヨシゴイ,Ixobrychus sinensis bryani,IXOBRYCHUS,ヨシゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
324,オオヨシゴイ,Ixobrychus eurhythmus,IXOBRYCHUS,ヨシゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
325,リュウキュウヨシゴイ,Ixobrychus cinnamomeus,IXOBRYCHUS,ヨシゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
326,タカサゴクロサギ,Ixobrychus flavicollis,IXOBRYCHUS,ヨシゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
326-1,タカサゴクロサギ,Ixobrychus flavicollis flavicollis,IXOBRYCHUS,ヨシゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
327,ミゾゴイ,Gorsachius goisagi,GORSACHIUS,ミゾゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
328,ズグロミゾゴイ,Gorsachius melanolophus,GORSACHIUS,ミゾゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
328-1,ズグロミゾゴイ,Gorsachius melanolophus melanolophus,GORSACHIUS,ミゾゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
329,ゴイサギ,Nycticorax nycticorax,NYCTICORAX,ゴイサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
329-1,ゴイサギ,Nycticorax nycticorax nycticorax,NYCTICORAX,ゴイサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
330,ハシブトゴイ,Nycticorax caledonicus,NYCTICORAX,ゴイサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
330-1,ハシブトゴイ,Nycticorax caledonicus crassirostris,NYCTICORAX,ゴイサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
331,ササゴイ,Butorides striata,BUTORIDES,ササゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
331-1,ササゴイ,Butorides striata amurensis,BUTORIDES,ササゴイ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
332,アカガシラサギ,Ardeola bacchus,ARDEOLA,アカガシラサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
333,アマサギ,Bubulcus ibis,BUBULCUS,アマサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
333-1,アマサギ,Bubulcus ibis coromandus,BUBULCUS,アマサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
334,アオサギ,Ardea cinerea,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
334-1,アオサギ,Ardea cinerea jouyi,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
335,ムラサキサギ,Ardea purpurea,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
335-1,ムラサキサギ,Ardea purpurea manilensis,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
336,ダイサギ,Ardea alba,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
336-1,ダイサギ,Ardea alba alba,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
336-2,チュウダイサギ,Ardea alba modesta,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
337,チュウサギ,Ardea intermedia,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
337-1,チュウサギ,Ardea intermedia intermedia,ARDEA,アオサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
338,コサギ,Egretta garzetta,EGRETTA,コサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
338-1,コサギ,Egretta garzetta garzetta,EGRETTA,コサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
339,クロサギ,Egretta sacra,EGRETTA,コサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
339-1,クロサギ,Egretta sacra sacra,EGRETTA,コサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,亜種
340,カラシラサギ,Egretta eulophotes,EGRETTA,コサギ属,ARDEIDAE,サギ科,PELECANIFORMES,ペリカン目,種
341,モモイロペリカン,Pelecanus onocrotalus,PELECANUS,ペリカン属,PELECANIDAE,ペリカン科,PELECANIFORMES,ペリカン目,種
342,ホシバシペリカン,Pelecanus philippensis,PELECANUS,ペリカン属,PELECANIDAE,ペリカン科,PELECANIFORMES,ペリカン目,種
343,ハイイロペリカン,Pelecanus crispus,PELECANUS,ペリカン属,PELECANIDAE,ペリカン科,PELECANIFORMES,ペリカン目,種
344,ミサゴ,Pandion haliaetus,PANDION,ミサゴ属,PANDIONIDAE,ミサゴ科,ACCIPITRIFORMES,タカ目,種
344-1,ミサゴ,Pandion haliaetus haliaetus,PANDION,ミサゴ属,PANDIONIDAE,ミサゴ科,ACCIPITRIFORMES,タカ目,亜種
345,ハチクマ,Pernis ptilorhynchus,PERNIS,ハチクマ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
345-1,ハチクマ,Pernis ptilorhynchus orientalis,PERNIS,ハチクマ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
346,クロハゲワシ,Aegypius monachus,AEGYPIUS,クロハゲワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
347,カンムリワシ,Spilornis cheela,SPILORNIS,カンムリワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
347-1,カンムリワシ,Spilornis cheela perplexus,SPILORNIS,カンムリワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
348,クマタカ,Nisaetus nipalensis,NISAETUS,クマタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
348-1,クマタカ,Nisaetus nipalensis orientalis,NISAETUS,クマタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
349,カラフトワシ,Clanga clanga,CLANGA,カラフトワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
350,カタシロワシ,Aquila heliaca,AQUILA,イヌワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
351,イヌワシ,Aquila chrysaetos,AQUILA,イヌワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
351-1,イヌワシ,Aquila chrysaetos japonica,AQUILA,イヌワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
352,アカハラダカ,Accipiter soloensis,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
353,ツミ,Accipiter gularis,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
353-1,ツミ,Accipiter gularis gularis,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
353-2,リュウキュウツミ,Accipiter gularis iwasakii,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
354,ハイタカ,Accipiter nisus,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
354-1,ハイタカ,Accipiter nisus nisosimilis,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
355,オオタカ,Accipiter gentilis,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
355-1,オオタカ,Accipiter gentilis fujiyamae,ACCIPITER,ハイタカ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
356,チュウヒ,Circus spilonotus,CIRCUS,チュウヒ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
357,ハイイロチュウヒ,Circus cyaneus,CIRCUS,チュウヒ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
358,アメリカハイイロチュウヒ,Circus hudsonius,CIRCUS,チュウヒ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
359,マダラチュウヒ,Circus melanoleucos,CIRCUS,チュウヒ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
360,トビ,Milvus migrans,MILVUS,トビ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
360-1,トビ,Milvus migrans lineatus,MILVUS,トビ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
361,オオワシ,Haliaeetus pelagicus,HALIAEETUS,オジロワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
362,オジロワシ,Haliaeetus albicilla,HALIAEETUS,オジロワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
362-1,オジロワシ,Haliaeetus albicilla albicilla,HALIAEETUS,オジロワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
363,ハクトウワシ,Haliaeetus leucocephalus,HALIAEETUS,オジロワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
363-1,ハクトウワシ,Haliaeetus leucocephalus washingtoniensis,HALIAEETUS,オジロワシ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
364,サシバ,Butastur indicus,BUTASTUR,サシバ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
365,ケアシノスリ,Buteo lagopus,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
365-1,ケアシノスリ,Buteo lagopus menzbieri,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
366,オオノスリ,Buteo hemilasius,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
367,ノスリ,Buteo japonicus,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,種
367-1,カラノスリ,Buteo japonicus burmanicus,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
367-2,ノスリ,Buteo japonicus japonicus,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
367-3,オガサワラノスリ,Buteo japonicus toyoshimai,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
367-4,ダイトウノスリ,Buteo japonicus oshiroi,BUTEO,ノスリ属,ACCIPITRIDAE,タカ科,ACCIPITRIFORMES,タカ目,亜種
368,アオバズク,Ninox japonica,NINOX,アオバズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
368-1,アオバズク,Ninox japonica japonica,NINOX,アオバズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
368-2,リュウキュウアオバズク,Ninox japonica totogo,NINOX,アオバズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
369,キンメフクロウ,Aegolius funereus,AEGOLIUS,キンメフクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
369-1,キンメフクロウ,Aegolius funereus sibiricus,AEGOLIUS,キンメフクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
370,コノハズク,Otus sunia,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
370-1,コノハズク,Otus sunia japonicus,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
371,リュウキュウコノハズク,Otus elegans,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
371-1,ダイトウコノハズク,Otus elegans interpositus,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
371-2,リュウキュウコノハズク,Otus elegans elegans,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
372,オオコノハズク,Otus semitorques,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
372-1,サメイロオオコノハズク,Otus semitorques ussuriensis,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
372-2,オオコノハズク,Otus semitorques semitorques,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
372-3,リュウキュウオオコノハズク,Otus semitorques pryeri,OTUS,コノハズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
373,トラフズク,Asio otus,ASIO,トラフズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
373-1,トラフズク,Asio otus otus,ASIO,トラフズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
374,コミミズク,Asio flammeus,ASIO,トラフズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
374-1,コミミズク,Asio flammeus flammeus,ASIO,トラフズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
375,シロフクロウ,Bubo scandiacus,BUBO,ワシミミズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
376,ワシミミズク,Bubo bubo,BUBO,ワシミミズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
376-1,タイリクワシミミズク,Bubo bubo kiautschensis,BUBO,ワシミミズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
376-2,ワシミミズク,Bubo bubo borissowi,BUBO,ワシミミズク属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
377,シマフクロウ,Ketupa blakistoni,KETUPA,シマフクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
377-1,シマフクロウ,Ketupa blakistoni blakistoni,KETUPA,シマフクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
378,フクロウ,Strix uralensis,STRIX,フクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,種
378-1,エゾフクロウ,Strix uralensis japonica,STRIX,フクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
378-2,フクロウ,Strix uralensis hondoensis,STRIX,フクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
378-3,モミヤマフクロウ,Strix uralensis momiyamae,STRIX,フクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
378-4,キュウシュウフクロウ,Strix uralensis fuscescens,STRIX,フクロウ属,STRIGIDAE,フクロウ科,STRIGIFORMES,フクロウ目,亜種
379,ヤツガシラ,Upupa epops,UPUPA,ヤツガシラ属,UPUPIDAE,ヤツガシラ科,BUCEROTIFORMES,サイチョウ目,種
379-1,ヤツガシラ,Upupa epops saturata,UPUPA,ヤツガシラ属,UPUPIDAE,ヤツガシラ科,BUCEROTIFORMES,サイチョウ目,亜種
380,ブッポウソウ,Eurystomus orientalis,EURYSTOMUS,ブッポウソウ属,CORACIIDAE,ブッポウソウ科,CORACIIFORMES,ブッポウソウ目,種
380-1,ブッポウソウ,Eurystomus orientalis calonyx,EURYSTOMUS,ブッポウソウ属,CORACIIDAE,ブッポウソウ科,CORACIIFORMES,ブッポウソウ目,亜種
381,アカショウビン,Halcyon coromanda,HALCYON,アカショウビン属,ALCEDINIDAE,カワセミ科,CORACIIFORMES,ブッポウソウ目,種
